gene	diff	rank
Camkk2	1	312
Slc45a4	1	313
Inf2	1	314
Zdhhc14	1	315
Supt20	1	316
Slc5a10	1	317
Tiam1	1	318
Pip4k2a	1	319
Slc22a12	1	320
Chst15	1	321
Sh3pxd2b	1	322
Tbx19	1	323
Itga4	1	324
Lbr	1	325
Il10rb	1	326
Entpd1	1	327
Dab2	1	328
Morn2	1	329
1500011B03Rik	1	330
Tmem235	1	331
Pak4	1	332
Aqp11	1	333
Furin	1	334
Ppap2a	1	335
Dstn	1	336
Srsf9	1	337
Atp8a2	1	338
Dnajc5	1	339
Zfp704	1	340
Col11a2	1	341
Shisa3	1	342
Clec2l	1	343
Lrrc52	1	344
4930562C15Rik	1	345
D10Jhu81e	1	346
Pecam1	1	347
Ppp4r1	1	348
Dyrk2	1	349
Park2	1	350
Sh3bp5	1	351
Rhoh	1	352
Sort1	1	353
Pld5	1	354
Itgb2	1	355
B4galt6	1	356
Xirp1	1	357
Zfp36l1	1	358
Dupd1	1	359
Sparc	1	360
Jun	1	361
Sf3a3	1	362
Atp6v0a2	1	363
Heatr5a	1	364
Gsn	1	365
Abl1	1	366
Nav2	1	367
Herpud2	1	368
Kctd1	1	369
Card11	1	370
Poldip3	1	371
Specc1l	1	372
Iqgap3	1	373
Gpr157	1	374
Rbm5	1	375
Tbrg3	1	376
Kif16b	1	377
Enpp6	1	378
Ifngr2	1	379
Cracr2a	1	380
Dexi	1	381
Rbm47	1	382
Soga1	1	383
Psma6	1	384
Slc38a10	1	385
Ccr7	1	386
Rab27a	1	387
Egr2	1	388
Kcng2	1	389
Ppfibp1	1	390
Hic1	1	391
Eif3j2	1	392
Slc22a16	1	393
Runx3	1	394
Fads3	1	395
Stk25	1	396
Klhdc10	1	397
4933402D24Rik	1	398
Ptprf	1	399
B3gnt2	1	400
1700020N01Rik	1	401
Amer2	1	402
Gnai2	1	403
Tnrc6b	1	404
B9d1	1	405
Vps8	1	406
Sec31a	1	407
BC017158	1	408
Rac1	1	409
Bach2	1	410
Atp8b1	1	411
Chd5	1	412
Jarid2	1	413
Arl6ip5	1	414
Atg3	1	415
Stambp	1	416
Cracr2b	1	417
Chst14	1	418
Srgap2	1	419
9330111N05Rik	1	420
Nlrp1b	1	421
1700009P17Rik	1	422
Gdap1l1	1	423
Plxna4os1	1	424
Cdyl	1	425
Slc16a3	1	426
Sall1	1	427
Sec14l2	1	428
Cux2	1	429
Gal	1	430
Csf1	1	431
Fhod1	1	432
Rhobtb1	1	433
Mbnl1	1	434
Gpsm1	1	435
Fli1	1	436
Zeb2	1	437
4930401O10Rik	1	438
Ctu2	1	439
Sirt4	1	440
Cx3cr1	1	441
Ninj1	1	442
Fam49b	1	443
Inpp5k	1	444
Mapkapk3	1	445
Marcks	1	446
Eif2ak3	1	447
Limk1	1	448
Dnm2	1	449
Evl	1	450
Gpr183	1	451
Zdhhc25	1	452
Dock10	1	453
Dlx1	1	454
Ankrd2	1	455
Tnfsf9	1	456
Map2k3	1	457
Faim2	1	458
Umps	1	459
Irgc1	1	460
Eif2ak1	1	461
Lif	1	462
Mpv17l	1	463
Trio	1	464
Kcnip3	1	465
Ank1	1	466
Dguok	1	467
Kctd21	1	468
Nenf	1	469
Egr3	1	470
Extl1	1	471
Mdfi	1	472
Gsg1	1	473
Lair1	1	474
Npffr1	1	475
Slc9a9	1	476
Dhx9	1	477
3300005D01Rik	1	478
4930583K01Rik	1	479
Cluap1	1	480
Lrrfip1	1	481
6330403A02Rik	1	482
Rapsn	1	483
Rxra	1	484
Icosl	1	485
Gtf2ird1	1	486
Armc2	1	487
Qars	1	488
N6amt2	1	489
Svopl	1	490
Hey1	1	491
Edn2	1	492
Ezr	1	493
Tnfsf12	1	494
Klf7	1	495
Rnasel	1	496
Cat	1	497
Sppl3	1	498
Micall2	1	499
Spata2	1	500
Sipa1l2	1	501
Tnfrsf1a	1	502
Gse1	1	503
Mtmr4	1	504
Pnp2	1	505
Mbp	1	506
Il4i1	1	507
Smox	1	508
Psmc1	1	509
Bhlhe41	1	510
Gng13	1	511
Pard3	1	512
Tgfbr1	1	513
2310008N11Rik	1	514
B4galt3	1	515
Nr3c1	1	516
A230028O05Rik	1	517
Tuba3b	1	518
Acvrl1	1	519
Cdk5r1	1	520
Foxk1	1	521
Zfp36l2	1	522
Pxn	1	523
Rarb	1	524
4930451C15Rik	1	525
Ptpn1	1	526
Hs1bp3	1	527
Lrp1	1	528
Sspn	1	529
Wrb	1	530
Batf3	1	531
Skor1	1	532
Usp10	1	533
Shisa4	1	534
Zfp148	1	535
Dnah17	1	536
Lrtm2	1	537
Fam171a1	1	538
Pgap2	1	539
Sgk3	1	540
St3gal5	1	541
Myo18a	1	542
Stard8	1	543
Dpysl2	1	544
Etv5	1	545
Fbp1	1	546
Inhbb	1	547
Nol4l	1	548
Tcp10a	1	549
Tgfbi	1	550
Ncf1	1	551
Nfkb1	1	552
Lace1	1	553
0610009L18Rik	1	554
1190005I06Rik	1	555
Nsmce1	1	556
Uaca	1	557
Pgd	1	558
Rhoc	1	559
F12	1	560
Atox1	1	561
Atp6v1e2	1	562
Etnk2	1	563
Ipo5	1	564
Pou2f2	1	565
Rad51b	1	566
Alox5ap	1	567
Mef2c	1	568
Cux1	1	569
Plcg2	1	570
Rreb1	1	571
Mag	1	572
Tfeb	1	573
Uri1	1	574
Cyth4	1	575
Il10ra	1	576
Tbc1d8	1	577
Mrgbp	1	578
Dhrs3	1	579
Amz1	1	580
Mlycd	1	581
Trappc10	1	582
Plxna1	1	583
Mpc1	1	584
Xylt1	1	585
Msl1	1	586
Opalin	1	587
Arhgap39	1	588
Tet3	1	589
Acbd3	1	590
Ccdc71	1	591
Arhgef6	1	592
Cebpd	1	593
Lpcat2	1	594
Spry1	1	595
Acvr1	1	596
AI317395	1	597
Rasgrp3	1	598
Tbc1d9	1	599
Slc25a36	1	600
Tifab	1	601
Ubr2	1	602
Txk	1	603
Nf2	1	604
Dnal4	1	605
Dclk1	1	606
Icos	1	607
Dusp7	1	608
Amz2	1	609
Atp8a1	1	610
Ptk2b	1	611
1700029N11Rik	1	612
Pkdcc	1	613
Dnajc18	1	614
Pag1	1	615
Pacsin2	1	616
Dfna5	1	617
Bri3	1	618
Sh2b2	1	619
Spns3	1	620
Kpna3	1	621
Vav2	1	622
Nr1d1	1	623
Aldh3b1	1	624
Cd300a	1	625
Trpv4	1	626
Cmtm6	1	627
Slco4a1	1	628
Donson	1	629
1700011B04Rik	1	630
Cap1	1	631
Impa1	1	632
Mafb	1	633
Akr1b8	1	634
Ctsh	1	635
Dusp6	1	636
Irf2bpl	1	637
Gpx3	1	638
Ssbp3	1	639
Tnfaip2	1	640
Agpat3	1	641
Edem1	1	642
Ptov1	1	643
Med9os	1	644
Rab6b	1	645
Clec2e	1	646
Fam117a	1	647
Tnni1	1	648
Slc23a2	1	649
Fnip1	1	650
Hivep2	1	651
Stx2	1	652
Inpp1	1	653
Ppif	1	654
Hps3	1	655
Srp9	1	656
Usp2	1	657
Chd9	1	658
6330409D20Rik	1	659
Zfhx3	1	660
Trim8	1	661
Ppp2r5a	1	662
Thra	1	663
Hook2	1	664
Maml3	1	665
Cables2	1	666
Cep68	1	667
Slc25a1	1	668
Rap1gds1	1	669
Dnmt3a	1	670
Mthfs	1	671
Mtss1	1	672
Nagpa	1	673
Rcc2	1	674
Zfp532	1	675
Dnajb12	1	676
Bcl2l14	1	677
Elk3	1	678
Map3k1	1	679
Sgms1	1	680
Zbtb2	1	681
Emr1	1	682
Hdac9	1	683
Pkp4	1	684
Stx1a	1	685
Ncaph	1	686
T2	1	687
Capn2	1	688
Pdk1	1	689
A930006I01Rik	1	690
Pvt1	1	691
4930567H12Rik	1	692
Lhx1os	1	693
Ctnnd1	1	694
Nmt1	1	695
Slc2a6	1	696
Pak6	1	697
Themis2	1	698
Nt5m	1	699
1700012I11Rik	1	700
H2-M10.1	1	701
Ier2	1	702
Bin1	1	703
Fgl2	1	704
Bicd1	1	705
Csf1r	1	706
Fscn1	1	707
Abca1	1	708
Sh3pxd2a	1	709
Ywhaq	1	710
D5Ertd579e	1	711
Fez2	1	712
Azin1	1	713
Calr4	1	714
A930006K02Rik	1	715
Tab1	1	716
1700011L22Rik	1	717
Aagab	1	718
Zfp128	1	719
Dnali1	1	720
Mcl1	1	721
Nav1	1	722
Tob1	1	723
Kdr	1	724
Igsf23	1	725
Ppp6r2	1	726
Commd7	1	727
Opa1	1	728
Dip2b	1	729
Pepd	1	730
Gpr107	1	731
Spata32	1	732
Rbm20	1	733
Rgl1	1	734
Cyba	1	735
Cd200r3	1	736
Skp2	1	737
Osbpl8	1	738
Asap1	1	739
Ncf4	1	740
Slc12a2	1	741
Mthfd1l	1	742
Lrig3	1	743
Slc25a33	1	744
Nup210l	1	745
Atp6v1b2	1	746
Ano7	1	747
Smad5	1	748
Iqsec2	1	749
1700027F09Rik	1	750
Nos1ap	1	751
1700016C15Rik	1	752
Ubr5	1	753
Lrrc8d	1	754
Ppp2r1b	1	755
Ptplad2	1	756
Txn1	1	757
Parp2	1	758
Susd2	1	759
Smarca5	1	760
Flt3	1	761
Hhat	1	762
Il17ra	1	763
Garnl3	1	764
5830432E09Rik	1	765
Gadl1	1	766
Ccl5	1	767
Pygb	1	768
Rab31	1	769
Fam213b	1	770
Gpr56	1	771
Fosb	1	772
Zcchc10	1	773
Eva1b	1	774
Slc9a4	1	775
Adm	1	776
B230319C09Rik	1	777
Arl3	1	778
Rbl2	1	779
