gene	diff	rank
Ccdc41	1.539781	244
0610037P05Rik	1.536277	245
Atp6v0c	1.5362	246
Gm10279	1.531273	247
Ssh1	1.530793	248
Ppan	1.529035	249
2610021A01Rik	1.52384	250
Siah2	1.521622	251
Gm5963	1.520315	252
Ttf2	1.515488	253
Fth1	1.514116	254
Pdxk	1.511972	255
Myeov2	1.510034	256
Gm5244	1.507607	257
Bin3	1.507122	258
Hif1a	1.50198	259
Gm10076	1.496788	260
Gm9294	1.492306	261
Ptplb	1.490454	262
Senp1	1.489856	263
Gm11361	1.489229	264
Hyi	1.485404	265
Eif4ebp1	1.485231	266
Plxnd1	1.484039	267
Wdr83	1.484039	268
Zfyve21	1.483234	269
Megf8	1.481776	270
Gm11478	1.478058	271
Pcbd2	1.476867	272
mmu-mir-2134-4	1.475818	273
Zbtb49	1.47242	274
Cops2	1.468324	275
Renbp	1.466876	276
Sc4mol	1.459303	277
Ctsl	1.456878	278
Tpi1	1.456817	279
Rpl28-ps1	1.456312	280
Ctsd	1.452347	281
Cox6a1	1.45057	282
Fundc2	1.446219	283
Pgk1	1.445904	284
Rps16	1.443029	285
Atg4a	1.442016	286
1700052N19Rik	1.439645	287
Rpl38-ps2	1.437937	288
H1f0	1.429864	289
Rps17	1.427387	290
March8	1.426085	291
1810027O10Rik	1.426056	292
1110038B12Rik	1.422442	293
Rps5	1.421863	294
Scai	1.416925	295
Zfp54	1.416925	296
Gm12254	1.415803	297
AC151602.1	1.414566	298
Gm5559	1.413005	299
Nme2	1.408829	300
Pgls	1.408074	301
Rps14	1.40771	302
Timm13	1.407464	303
Il4i1	1.403119	304
Nap1l1	1.400373	305
Zcwpw1	1.400246	306
Tnfaip3	1.396461	307
Rpl37	1.394295	308
Rps16-ps2	1.394249	309
Slx4	1.393841	310
Rpl34	1.393778	311
Rpl10a-ps1	1.392163	312
Grhpr	1.389019	313
Rps29	1.388502	314
Rpl38	1.387452	315
Cnnm2	1.384503	316
Ttc38	1.384503	317
Abcd2	1.384188	318
Agpat2	1.382159	319
Ggh	1.381796	320
Adar	1.377531	321
Akr1e1	1.375584	322
B2m	1.374797	323
Gm10073	1.374489	324
Hars2	1.374489	325
Casz1	1.37253	326
Padi2	1.37253	327
Dnajb14	1.372001	328
Prune2	1.371891	329
Rpl37a	1.368778	330
4931406P16Rik	1.367752	331
Rps28	1.366575	332
Eef1b2	1.361106	333
Rpl10a	1.359364	334
Gm7290	1.359058	335
Gm4149	1.357053	336
Ebag9	1.35464	337
Polr3k	1.353309	338
Gm6023	1.353199	339
Gm8730	1.352626	340
Tusc2	1.349361	341
Gm6415	1.34864	342
Gm6202	1.345016	343
Psmd10	1.341823	344
Vkorc1	1.339673	345
Cd68	1.339356	346
Eif1ax	1.339222	347
Rps27a	1.338044	348
Gm13456	1.337027	349
Thumpd2	1.336435	350
Gm13226	1.335853	351
Rhoc	1.335395	352
Mrpl45	1.326071	353
Rps24	1.323789	354
mmu-mir-703	1.322336	355
Vegfb	1.321093	356
Itpr1	1.317389	357
St6gal1	1.314178	358
Gm13436	1.312122	359
Psmf1	1.310616	360
Mpeg1	1.30654	361
Cryz	1.305893	362
Ropn1l	1.305893	363
Itgb1bp1	1.303467	364
Mthfs	1.303268	365
Zfand2b	1.301447	366
BC029722	1.300638	367
Gm16238	1.294862	368
Ptprm	1.293866	369
Nsmce1	1.292803	370
Bloc1s1	1.288095	371
Rpl18-ps1	1.285959	372
Fuca1	1.285436	373
Hcfc1r1	1.282624	374
Asna1	1.276937	375
Timm9	1.273668	376
Myo9b	1.270586	377
Pea15a	1.270014	378
Rpl28-ps3	1.269648	379
Rpl30	1.267599	380
Usp12	1.267177	381
H2-DMa	1.26701	382
Dusp12	1.266365	383
Nampt	1.265262	384
2410015M20Rik	1.264403	385
Rplp2-ps1	1.260126	386
Prdx1	1.258175	387
Ccdc132	1.257888	388
Atp8b2	1.255174	389
Gltp	1.255174	390
Scand1	1.251865	391
Brcc3	1.251501	392
Chst11	1.251339	393
Gmps	1.249815	394
Plbd2	1.249798	395
Rps25	1.249659	396
Ralgapa1	1.247	397
Rps25-ps1	1.243776	398
Fau	1.243315	399
Slc30a1	1.240047	400
Gm15500	1.238906	401
Nhp2	1.236658	402
Guf1	1.234061	403
Rpl31	1.23315	404
Snx10	1.233006	405
Ccl12	1.232032	406
Gm11741	1.23088	407
Rps21	1.228009	408
Trem2	1.22707	409
Gm10294	1.226621	410
Soat1	1.224973	411
Fastkd2	1.22428	412
Pcna	1.220734	413
Fam46c	1.218334	414
Tmem106a	1.215666	415
Fxc1	1.213525	416
Fam98c	1.212234	417
Prdx4	1.211759	418
2900076A07Rik	1.210474	419
Gm13048	1.208143	420
Cd48	1.208018	421
Vangl2	1.207471	422
Cd99l2	1.202944	423
Rcor1	1.202481	424
Setd1a	1.202331	425
Aig1	1.201608	426
Rpl32	1.199755	427
Gm9843	1.196004	428
Tmbim1	1.195741	429
Ctsa	1.195445	430
Hexa	1.191048	431
Rpl9-ps6	1.189514	432
Zfp259	1.186246	433
Wdr91	1.185599	434
Clcn7	1.184939	435
Fam203a	1.184634	436
Rps4x	1.183155	437
mmu-mir-689-2	1.179233	438
Gm10119	1.178906	439
Rplp2	1.1789	440
Rpsa-ps10	1.177098	441
Lyve1	1.172999	442
Wdr12	1.172302	443
Rps20	1.171765	444
Plekhm2	1.168997	445
Rpl35	1.1676	446
Coro1c	1.166986	447
Rpl12	1.166729	448
Pkm2	1.163882	449
Golga2	1.160016	450
Rpl22	1.158977	451
Rufy1	1.158943	452
Rpl14	1.158851	453
Gas5	1.158431	454
Gtf2ird1	1.156487	455
Gm10036	1.154975	456
