gene	diff	rank
Arid5b	1	314
Bmf	1	315
Cmtm7	1	316
Lhfpl2	1	317
Tle3	1	318
Nrp2	1	319
Rtl5	1	320
Pdcd4	1	321
Mbnl2	1	322
Lims1	1	323
Extl3	1	324
Gxylt1	1	325
Mef2a	1	326
Map3k1	1	327
Jarid2	1	328
Qrfp	1	329
Ctsd	1	330
Edem1	1	331
Fads3	1	332
Kat6a	1	333
Pan3	1	334
Ccnk	1	335
Hic1	1	336
Tnfrsf1b	1	337
Smad1	1	338
Cln8	1	339
Umps	1	340
Setd1b	1	341
9130230L23Rik	1	342
Foxo3	1	343
Fmnl2	1	344
5031425E22Rik	1	345
Ldlrad4	1	346
Mvb12b	1	347
Taok3	1	348
Klf3	1	349
Pgbd5	1	350
Usp12	1	351
Slc45a4	1	352
Cflar	1	353
Fscn1	1	354
Tmcc3	1	355
Hivep2	1	356
Basp1	1	357
Plcg2	1	358
Pfkfb3	1	359
Ikzf1	1	360
Spi1	1	361
Ptgs1	1	362
Apbb2	1	363
Ralb	1	364
Efna5	1	365
Stard5	1	366
N4bp1	1	367
Tma16	1	368
Gsdme	1	369
Lifr	1	370
Tlr7	1	371
Ykt6	1	372
Sh3bp2	1	373
Stk10	1	374
Arhgap24	1	375
Rap1gds1	1	376
Dyrk1a	1	377
Tbc1d14	1	378
Ube2v1	1	379
Smad7	1	380
Slc22a12	1	381
Lrp5	1	382
Ptprm	1	383
Supt3	1	384
Acvr1	1	385
BC106179	1	386
Cux1	1	387
Rps6ka1	1	388
Ssbp3	1	389
Peg13	1	390
Stk24	1	391
Foxo1	1	392
Rab6b	1	393
Bicra	1	394
Cyth1	1	395
Hdac4	1	396
Csf1r	1	397
Nos1ap	1	398
Il4ra	1	399
Jade1	1	400
Slc4a4	1	401
Arid3a	1	402
Wdfy3	1	403
Cyth4	1	404
Ptk2b	1	405
Slc6a6	1	406
Bbs9	1	407
Eepd1	1	408
Chst7	1	409
Gpr183	1	410
A930002C04Rik	1	411
Klf13	1	412
Cd47	1	413
A930033H14Rik	1	414
Gnaq	1	415
9430078K24Rik	1	416
E230013L22Rik	1	417
Megf11	1	418
Hrh2	1	419
Adrb1	1	420
Rab8b	1	421
Map3k20	1	422
Cradd	1	423
Pld1	1	424
Xylt1	1	425
Hvcn1	1	426
Smyd3	1	427
Swap70	1	428
Mylip	1	429
Cds1	1	430
Rap1b	1	431
Itpr2	1	432
Wbp4	1	433
Pdgfa	1	434
Lrrc8d	1	435
Larp1	1	436
Stox2	1	437
Ccdc12	1	438
Laptm5	1	439
Arhgef10l	1	440
Hlf	1	441
